==============================================================================
2. Extracting from V1 vertices determined by C2 [1-*] (458597)
==============================================================================
Dimension: 458597
The lowest value:                         0.0000
The highest value:                      768.0000

Highest values: 

      Rank    Vertex                       Value   Id
--------------------------------------------------------
       264     54794                     63.0000   SEGLEN_P(1994)45:1
       265     25208                     63.0000   ROUSSEAU_R(2006)1:23
       266     24919                     63.0000   NARIN_F(1976)27:25
       267     12311                     63.0000   FRUCHTER_T(1991)21:1129
       268     21905                     63.0000   HJORLAND_B(1995)46:400
       269      5200                     63.0000   VANNOORD_R(2014)512:126
       270     33002                     63.0000   HO_Y(2007)1:1
       271     65384                     62.0000   LAHERRER_J(1998)2:525
       272      3721                     62.0000   HICKS_D(2004):473
       273     13798                     62.0000   BORNMANN_L(2012)6:333
       274      1488                     62.0000   ROUSSEEU_P(1987)20:53
       275       712                     62.0000   MACIAS-C_C(1998)27:134
       276     22178                     62.0000   WHITLEY_R(1984):
       277    349176                     62.0000   SMITH_P(1985)150:76
       278     20365                     62.0000   COHEN_J(1988):
       279     32033                     61.0000   SMALL_H(1985)11:147
       280     31316                     61.0000   LAWRENCE_P(2003)422:259
       281       478                     61.0000   JAFFE_A(1993)108:577
       282     15099                     61.0000   NEWMAN_M(2004)69:066133
       283    113416                     61.0000   IJIRI_Y(1977):
       284     14139                     61.0000   SCHUBERT_A(2007)70:201
       285     26146                     61.0000   LEYDESDO_L(2001):
       286     94874                     61.0000   KENDALL_M(1960)11:31
       287    155690                     61.0000   MANDELBR_B(1977):
       288      4665                     61.0000   MORRIS_S(2003)54:413
       289       508                     60.0000   NELSON_R(1993):
       290      4000                     60.0000   MACROBER_M(2010)61:1
       291      7520                     60.0000   KLEINBER_J(2003)7:373
       292     13948                     60.0000   DEMOYA-A_F(2007)73:53
       293    217434                     60.0000   LAWRENCE_S(1999)400:107
       294      1639                     60.0000   PORTER_M(1985):
       295      9199                     60.0000   DIMAGGIO_P(1983)48:147
       296      7989                     59.0000   DENOOY_W(2005):
       297     13731                     59.0000   BEAVER_D(1979)1:231
       298     13699                     59.0000   SHUAI_X(2012)7:0047523
       299      1577                     59.0000   DOSI_G(1982)11:147
       300     21832                     59.0000   ADLER_R(2009)24:1
       301     10385                     59.0000   SVIDER_P(2013)123:103
       302       509                     58.0000   NONAKA_I(1995):
       303     15439                     58.0000   ZADEH_L(1965)8:338
       304     58493                     58.0000   JACSO_P(2006)30:297
       305     23496                     58.0000   GRILICHE_Z(1990)28:1661
       306     34553                     58.0000   AKSNES_D(2004)59:213
       307     11200                     57.0000   CHEN_C(2009)3:191
       308     22283                     57.0000   PATSOPOU_N(2005)293:2362
       309      1111                     57.0000   RAFOLS_I(2009)60:1823
       310       247                     56.0000   KOUSHA_K(2008)74:273
       311     15575                     56.0000   VANDEN_B(2006)68:377
       312      3845                     56.0000   TSCHARNT_T(2007)5:13
       313       116                     56.0000   CHEN_P(2007)1:8
       314      1188                     56.0000   VANECK_N(2011)7:50
